Health Facility,Year,Week,Total cases
KAZUNGULA H.POST,2011,1,3
PLATEAU H.POST,2011,1,7
KASANE H.POST,2011,1,0
KASANE PRIMARY HOSPITAL,2011,1,4
KAZUNGULA BDF H.POST,2011,1,2
KACHIKAU H.POST,2011,1,2
KAVIMBA H.POST,2011,1,2
KAZUNGULA BDF H.POST,2011,2,0
PLATEAU H.POST,2011,2,1
KASANE PRIMARY HOSPITAL,2011,2,17
KAZUNGULA H.POST,2011,2,5
KACHIKAU H.POST,2011,2,2
KAVIMBA H.POST,2011,2,1
KASANE H.POST,2011,2,3
KASANE PRIMARY HOSPITAL,2011,3,5
KAZUNGULA H.POST,2011,3,7
KASANE H.POST,2011,3,5
KAVIMBA H.POST,2011,3,2
KACHIKAU H.POST,2011,3,4
PLATEAU H.POST,2011,3,0
KASANE PRIMARY HOSPITAL,2011,4,5
PLATEAU H.POST,2011,4,8
KAZUNGULA H.POST,2011,4,4
KASANE H.POST,2011,4,3
KACHIKAU H.POST,2011,4,0
KAVIMBA H.POST,2011,4,5
KAZUNGULA BDF H.POST,2011,4,0
KAZUNGULA H.POST,2011,5,4
KACHIKAU H.POST,2011,5,2
KAVIMBA H.POST,2011,5,4
KASANE PRIMARY HOSPITAL,2011,5,7
KASANE H.POST,2011,5,2
PLATEAU H.POST,2011,5,10
KAZUNGULA BDF H.POST,2011,6,0
PLATEAU H.POST,2011,6,10
KAVIMBA H.POST,2011,6,4
KACHIKAU H.POST,2011,6,1
KASANE PRIMARY HOSPITAL,2011,6,15
KAZUNGULA H.POST,2011,6,6
KASANE H.POST,2011,6,2
KAZUNGULA BDF H.POST,2011,7,0
KASANE PRIMARY HOSPITAL,2011,7,10
KASANE H.POST,2011,7,2
PLATEAU H.POST,2011,7,6
KAZUNGULA H.POST,2011,7,9
KAVIMBA H.POST,2011,7,0
KACHIKAU H.POST,2011,7,5
KAVIMBA H.POST,2011,8,0
KACHIKAU H.POST,2011,8,4
KAZUNGULA BDF H.POST,2011,8,0
PLATEAU H.POST,2011,8,0
KASANE H.POST,2011,8,0
KASANE PRIMARY HOSPITAL,2011,8,0
KAZUNGULA H.POST,2011,8,5
KAZUNGULA H.POST,2011,9,11
PLATEAU H.POST,2011,9,1
KASANE PRIMARY HOSPITAL,2011,9,4
KASANE H.POST,2011,9,0
KAZUNGULA BDF H.POST,2011,9,0
KACHIKAU H.POST,2011,9,1
KAVIMBA H.POST,2011,9,8
KACHIKAU H.POST,2011,10,7
KAZUNGULA H.POST,2011,10,1
PLATEAU H.POST,2011,10,3
KASANE H.POST,2011,10,0
KAVIMBA H.POST,2011,10,2
KAZUNGULA BDF H.POST,2011,10,0
KASANE PRIMARY HOSPITAL,2011,10,11
KASANE PRIMARY HOSPITAL,2011,11,16
PLATEAU H.POST,2011,11,10
KASANE H.POST,2011,11,0
KAZUNGULA H.POST,2011,11,6
KAZUNGULA BDF H.POST,2011,11,0
KAVIMBA H.POST,2011,11,3
KACHIKAU H.POST,2011,12,10
KAVIMBA H.POST,2011,12,6
KASANE H.POST,2011,12,4
KAZUNGULA H.POST,2011,12,4
KASANE PRIMARY HOSPITAL,2011,12,6
PLATEAU H.POST,2011,12,5
PLATEAU H.POST,2011,13,2
KASANE PRIMARY HOSPITAL,2011,13,2
KAZUNGULA H.POST,2011,13,9
KACHIKAU H.POST,2011,13,5
KAVIMBA H.POST,2011,13,2
KAZUNGULA BDF H.POST,2011,13,0
KASANE H.POST,2011,13,1
KAVIMBA H.POST,2011,14,1
PLATEAU H.POST,2011,14,0
KACHIKAU H.POST,2011,14,9
KAZUNGULA BDF H.POST,2011,14,2
KASANE PRIMARY HOSPITAL,2011,14,4
KAZUNGULA H.POST,2011,14,1
KASANE H.POST,2011,14,1
KASANE PRIMARY HOSPITAL,2011,15,4
KAZUNGULA BDF H.POST,2011,15,1
PLATEAU H.POST,2011,15,0
KACHIKAU H.POST,2011,15,6
KAZUNGULA H.POST,2011,15,4
KASANE H.POST,2011,15,0
KAVIMBA H.POST,2011,15,2
KASANE PRIMARY HOSPITAL,2011,16,2
KAZUNGULA BDF H.POST,2011,16,0
KAZUNGULA H.POST,2011,16,7
KAVIMBA H.POST,2011,16,0
KACHIKAU H.POST,2011,16,6
KASANE H.POST,2011,16,0
KAZUNGULA BDF H.POST,2011,17,0
KASANE PRIMARY HOSPITAL,2011,17,5
KAVIMBA H.POST,2011,17,3
KACHIKAU H.POST,2011,17,6
KASANE H.POST,2011,17,4
KAZUNGULA H.POST,2011,17,0
KASANE H.POST,2011,18,0
KASANE PRIMARY HOSPITAL,2011,18,2
KACHIKAU H.POST,2011,18,1
KAVIMBA H.POST,2011,18,0
PLATEAU H.POST,2011,18,3
KAZUNGULA BDF H.POST,2011,18,0
PLATEAU H.POST,2011,19,1
KAZUNGULA H.POST,2011,19,2
KASANE PRIMARY HOSPITAL,2011,19,4
KAZUNGULA BDF H.POST,2011,19,0
KAVIMBA H.POST,2011,19,0
KACHIKAU H.POST,2011,19,8
KASANE H.POST,2011,19,1
PLATEAU H.POST,2011,20,1
KACHIKAU H.POST,2011,20,5
KAZUNGULA H.POST,2011,20,3
KASANE PRISON H.POST,2011,20,0
KAVIMBA H.POST,2011,20,0
KAZUNGULA BDF H.POST,2011,20,0
KAZUNGULA BDF H.POST,2011,21,0
KASANE H.POST,2011,21,4
KAZUNGULA H.POST,2011,21,3
KACHIKAU H.POST,2011,21,2
KAVIMBA H.POST,2011,21,0
KASANE PRIMARY HOSPITAL,2011,21,4
KAZUNGULA H.POST,2011,22,0
KAZUNGULA BDF H.POST,2011,22,0
KASANE H.POST,2011,22,2
KAVIMBA H.POST,2011,22,0
KACHIKAU H.POST,2011,22,1
KASANE PRISON H.POST,2011,22,0
KASANE PRISON H.POST,2011,23,0
KAVIMBA H.POST,2011,23,0
KAZUNGULA BDF H.POST,2011,23,0
PLATEAU H.POST,2011,23,2
KASANE H.POST,2011,23,5
KAZUNGULA H.POST,2011,23,1
KACHIKAU H.POST,2011,24,1
KAVIMBA H.POST,2011,24,1
KASANE H.POST,2011,24,5
KAZUNGULA BDF H.POST,2011,24,0
KAZUNGULA H.POST,2011,24,3
KAVIMBA H.POST,2011,25,1
KACHIKAU H.POST,2011,25,6
KASANE H.POST,2011,25,3
PLATEAU H.POST,2011,25,1
KAZUNGULA H.POST,2011,25,11
KAZUNGULA BDF H.POST,2011,25,0
KAZUNGULA H.POST,2011,26,0
KAZUNGULA BDF H.POST,2011,26,0
PLATEAU H.POST,2011,26,1
KASANE PRISON H.POST,2011,26,0
KASANE PRIMARY HOSPITAL,2011,26,5
KASANE H.POST,2011,26,3
KACHIKAU H.POST,2011,26,2
KAVIMBA H.POST,2011,26,0
KAZUNGULA H.POST,2011,27,6
KAZUNGULA BDF H.POST,2011,27,0
PLATEAU H.POST,2011,27,1
KAVIMBA H.POST,2011,27,0
KACHIKAU H.POST,2011,27,3
KASANE H.POST,2011,27,0
KACHIKAU H.POST,2011,28,3
KASANE PRISON H.POST,2011,28,0
KASANE PRIMARY HOSPITAL,2011,28,9
KAZUNGULA BDF H.POST,2011,28,0
KAVIMBA H.POST,2011,28,2
KASANE H.POST,2011,28,1
KAZUNGULA H.POST,2011,28,0
KACHIKAU H.POST,2011,29,2
KASANE PRIMARY HOSPITAL,2011,29,4
PLATEAU H.POST,2011,29,1
KASANE PRISON H.POST,2011,29,0
KASANE H.POST,2011,29,2
KAZUNGULA H.POST,2011,29,3
KAVIMBA H.POST,2011,29,1
KASANE PRIMARY HOSPITAL,2011,30,13
KAZUNGULA BDF H.POST,2011,30,0
KACHIKAU H.POST,2011,30,2
KAVIMBA H.POST,2011,30,1
KAZUNGULA H.POST,2011,30,2
KASANE H.POST,2011,30,4
PLATEAU H.POST,2011,30,3
KASANE PRISON H.POST,2011,30,0
KACHIKAU H.POST,2011,31,5
KAVIMBA H.POST,2011,31,1
PLATEAU H.POST,2011,31,5
KAZUNGULA H.POST,2011,31,1
KASANE H.POST,2011,31,0
KASANE PRISON H.POST,2011,31,0
KAZUNGULA H.POST,2011,32,0
KASANE PRISON H.POST,2011,32,0
KASANE PRIMARY HOSPITAL,2011,32,25
KAVIMBA H.POST,2011,32,0
KACHIKAU H.POST,2011,32,2
PLATEAU H.POST,2011,32,2
KASANE H.POST,2011,32,7
KASANE H.POST,2011,33,6
PLATEAU H.POST,2011,33,4
KACHIKAU H.POST,2011,33,1
KAVIMBA H.POST,2011,33,2
KASANE PRIMARY HOSPITAL,2011,33,18
KAZUNGULA H.POST,2011,33,13
KASANE PRIMARY HOSPITAL,2011,34,7
PLATEAU H.POST,2011,34,17
KAVIMBA H.POST,2011,34,3
KASANE H.POST,2011,34,11
KACHIKAU H.POST,2011,34,9
KAZUNGULA H.POST,2011,34,10
KAVIMBA H.POST,2011,35,0
KACHIKAU H.POST,2011,35,7
KASANE PRISON H.POST,2011,35,0
KASANE H.POST,2011,35,10
KAZUNGULA H.POST,2011,35,4
PLATEAU H.POST,2011,35,9
KASANE PRIMARY HOSPITAL,2011,35,10
KASANE PRIMARY HOSPITAL,2011,36,4
KASANE H.POST,2011,36,5
PLATEAU H.POST,2011,36,6
KAZUNGULA H.POST,2011,36,3
KACHIKAU H.POST,2011,36,8
KAVIMBA H.POST,2011,36,0
KASANE PRISON H.POST,2011,36,0
KASANE PRISON H.POST,2011,37,0
KAZUNGULA BDF H.POST,2011,37,0
KACHIKAU H.POST,2011,37,12
KASANE PRIMARY HOSPITAL,2011,37,8
PLATEAU H.POST,2011,37,4
KAZUNGULA H.POST,2011,37,14
KASANE H.POST,2011,37,7
KAVIMBA H.POST,2011,37,3
KASANE PRIMARY HOSPITAL,2011,38,9
KAZUNGULA H.POST,2011,38,9
KAZUNGULA BDF H.POST,2011,38,0
KASANE PRISON H.POST,2011,38,0
PLATEAU H.POST,2011,38,6
KACHIKAU H.POST,2011,38,8
KASANE H.POST,2011,38,9
KAVIMBA H.POST,2011,38,7
KASANE PRISON H.POST,2011,39,0
KASANE H.POST,2011,39,6
KASANE PRIMARY HOSPITAL,2011,39,8
KACHIKAU H.POST,2011,39,2
KAZUNGULA H.POST,2011,39,0
KAVIMBA H.POST,2011,39,6
PLATEAU H.POST,2011,39,11
KAZUNGULA BDF H.POST,2011,39,0
KASANE PRIMARY HOSPITAL,2011,40,5
KAVIMBA H.POST,2011,40,1
KACHIKAU H.POST,2011,40,1
PLATEAU H.POST,2011,40,3
KAZUNGULA H.POST,2011,40,0
