date,transect,count
1-Jul-11,1,18.3
1-Jul-11,3,16.8
1-Jul-11,5,23.6
1-Jul-11,7,16.0
1-Jul-11,9,20.8
1-Jul-11,11,20.8
1-Jul-11,13,15.2
1-Jul-11,15,11.2
1-Jul-11,17,20.0
1-Jul-11,19,33.6
1-Jul-11,21,22.0
1-Jul-11,23,23.2
1-Jul-11,25,27.6
1-Jul-11,27,16.8
1-Jul-11,29,27.6
1-Jul-11,31,61.6
1-Jul-11,33,74.0
1-Jul-11,35,84.0
1-Jul-11,37,34.4
1-Jul-11,39,38.8
1-Jul-11,41,34.8
1-Jul-11,43,37.2
1-Jul-11,45,32.0
1-Jul-11,47,38.4
1-Jul-11,49,102.0
1-Jul-11,51,38.4
1-Jul-11,53,18.4
1-Jul-11,55,16.4
13-Jul-11,1,21.6
13-Jul-11,3,19.2
13-Jul-11,5,16.0
13-Jul-11,7,22.4
13-Jul-11,9,18.0
13-Jul-11,11,20.8
13-Jul-11,13,29.2
13-Jul-11,15,19.2
13-Jul-11,17,22.4
13-Jul-11,19,17.0
13-Jul-11,21,29.6
13-Jul-11,23,9.2
13-Jul-11,25,12.4
13-Jul-11,27,10.0
13-Jul-11,29,16.0
13-Jul-11,31,36.0
13-Jul-11,33,55.0
13-Jul-11,35,50.0
13-Jul-11,37,23.0
13-Jul-11,39,37.3
13-Jul-11,41,22.5
13-Jul-11,43,36.7
13-Jul-11,45,24.5
13-Jul-11,47,34.0
13-Jul-11,49,53.0
13-Jul-11,51,18.0
13-Jul-11,53,48.8
13-Jul-11,55,24.8
30-Jul-11,1,19.2
30-Jul-11,3,62.4
30-Jul-11,5,34.8
30-Jul-11,7,27.2
30-Jul-11,9,25.2
30-Jul-11,11,26.0
30-Jul-11,13,17.6
30-Jul-11,15,18.4
30-Jul-11,17,26.4
30-Jul-11,19,17.2
30-Jul-11,21,25.2
30-Jul-11,23,14.8
30-Jul-11,25,16.0
30-Jul-11,27,26.8
30-Jul-11,29,18.8
30-Jul-11,31,69.0
30-Jul-11,33,97.0
30-Jul-11,35,21.0
30-Jul-11,37,40.5
30-Jul-11,39,26.7
30-Jul-11,41,14.5
30-Jul-11,43,16.7
30-Jul-11,45,15.0
30-Jul-11,47,22.0
30-Jul-11,49,14.0
30-Jul-11,51,10.0
30-Jul-11,53,11.6
30-Jul-11,55,8.8
11-Aug-11,1,14.4
11-Aug-11,3,18.0
11-Aug-11,5,12.5
11-Aug-11,7,10.0
11-Aug-11,9,18.8
11-Aug-11,11,19.6
11-Aug-11,13,17.6
11-Aug-11,15,13.2
11-Aug-11,17,19.6
11-Aug-11,19,18.4
11-Aug-11,21,18.0
11-Aug-11,23,12.0
11-Aug-11,25,10.0
11-Aug-11,27,15.6
11-Aug-11,29,22.0
11-Aug-11,31,71.0
11-Aug-11,33,92.0
11-Aug-11,35,62.0
11-Aug-11,37,15.5
11-Aug-11,39,16.0
11-Aug-11,41,7.5
11-Aug-11,43,13.3
11-Aug-11,45,12.0
11-Aug-11,47,38.7
11-Aug-11,49,30.0
11-Aug-11,51,53.5
11-Aug-11,53,17.2
11-Aug-11,55,19.6
24-Aug-11,1,33.6
24-Aug-11,3,58.0
24-Aug-11,5,55.5
24-Aug-11,7,43.6
24-Aug-11,11,50.0
24-Aug-11,13,54.0
24-Aug-11,15,62.0
24-Aug-11,17,78.4
24-Aug-11,19,70.4
24-Aug-11,21,70.0
26-Aug-11,23,10.4
26-Aug-11,25,37.2
26-Aug-11,27,18.8
26-Aug-11,29,11.6
26-Aug-11,31,105.0
26-Aug-11,33,110.7
26-Aug-11,35,137.0
26-Aug-11,37,82.7
26-Aug-11,39,63.3
26-Aug-11,41,4.0
26-Aug-11,43,26.7
26-Aug-11,45,31.0
26-Aug-11,47,34.0
26-Aug-11,49,67.1
26-Aug-11,51,
26-Aug-11,53,27.6
26-Aug-11,55,
8-Sep-11,1,15.0
8-Sep-11,3,21.3
8-Sep-11,5,28.0
8-Sep-11,7,18.7
8-Sep-11,11,20.0
8-Sep-11,13,24.7
8-Sep-11,15,2.7
8-Sep-11,17,27.3
8-Sep-11,19,54.7
8-Sep-11,21,41.2
7-Sep-11,23,1.6
7-Sep-11,25,7.0
7-Sep-11,27,4.4
7-Sep-11,29,8.0
7-Sep-11,31,0.0
7-Sep-11,33,38.7
7-Sep-11,35,54.7
7-Sep-11,37,106.7
7-Sep-11,39,17.0
7-Sep-11,41,20.0
7-Sep-11,43,18.7
7-Sep-11,45,7.0
7-Sep-11,47,7.3
7-Sep-11,49,22.0
7-Sep-11,51,22.5
7-Sep-11,53,4.8
7-Sep-11,55,21.2
21-Sep-11,1,15.0
21-Sep-11,3,28.0
21-Sep-11,5,42.0
21-Sep-11,7,49.3
21-Sep-11,11,
21-Sep-11,13,34.7
21-Sep-11,15,23.6
21-Sep-11,17,30.7
21-Sep-11,19,25.3
21-Sep-11,21,32.7
20-Sep-11,23,6.8
20-Sep-11,25,81.5
20-Sep-11,27,7.2
20-Sep-11,29,7.6
20-Sep-11,31,13.5
20-Sep-11,33,32.0
20-Sep-11,35,21.3
20-Sep-11,37,38.7
20-Sep-11,39,19.3
20-Sep-11,41,3.0
20-Sep-11,43,0.7
20-Sep-11,45,6.8
20-Sep-11,47,3.6
20-Sep-11,49,16.0
20-Sep-11,51,9.5
20-Sep-11,53,4.4
20-Sep-11,55,18.9
6-Oct-11,1,15.5
6-Oct-11,3,13.3
6-Oct-11,5,13.3
6-Oct-11,7,24.0
6-Oct-11,11,38.0
6-Oct-11,13,30.7
6-Oct-11,15,32.0
6-Oct-11,17,30.0
6-Oct-11,19,20.0
6-Oct-11,21,17.7
5-Oct-11,23,19.2
5-Oct-11,25,102.5
5-Oct-11,27,40.0
5-Oct-11,29,6.4
5-Oct-11,31,42.0
5-Oct-11,33,72.0
5-Oct-11,35,62.0
5-Oct-11,37,110.7
5-Oct-11,39,14.7
5-Oct-11,41,4.5
5-Oct-11,43,3.0
5-Oct-11,45,3.5
5-Oct-11,47,6.8
5-Oct-11,49,41.0
5-Oct-11,51,45.5
5-Oct-11,53,4.8
5-Oct-11,55,2.0
20-Oct-11,3,18.0
20-Oct-11,5,22.0
20-Oct-11,7,40.0
20-Oct-11,11,24.5
20-Oct-11,13,24.0
20-Oct-11,15,23.2
20-Oct-11,17,36.7
20-Oct-11,19,33.3
20-Oct-11,21,36.0
20-Oct-11,23,6.0
20-Oct-11,25,2.0
20-Oct-11,27,2.0
20-Oct-11,29,21.2
20-Oct-11,31,28.7
20-Oct-11,33,98.7
20-Oct-11,35,87.0
20-Oct-11,37,46.7
20-Oct-11,39,36.7
20-Oct-11,41,2.4
20-Oct-11,43,3.6
20-Oct-11,45,40.0
20-Oct-11,47,8.0
20-Oct-11,49,61.0
20-Oct-11,51,-
20-Oct-11,53,7.2
20-Oct-11,55,-
3-Nov-11,1,11.0
3-Nov-11,3,9.3
3-Nov-11,5,12.7
3-Nov-11,7,21.3
3-Nov-11,11,21.0
3-Nov-11,13,47.3
3-Nov-11,15,24.0
3-Nov-11,17,26.0
3-Nov-11,19,16.0
3-Nov-11,21,21.0
3-Nov-11,23,4.4
3-Nov-11,25,6.0
3-Nov-11,27,2.4
3-Nov-11,29,22.4
