Sample ID,Date Collected,Transect No.,Isolate No.,A10 Call,C30 Call,C0P5 Call,D30 Call,GM10 Call,N30 Call,S10 Call,T30 Call,SXT Call,XNL30 Call,TOTAL
WAT029,7/13/11,1,1,0,0,0,0,0,0,0,1,0,0,1
WAT030,7/13/11,3,1,0,0,0,1,0,0,0,1,0,0,2
WAT030,7/13/11,3,2,1,0,0,1,0,0,0,1,0,0,3
WAT030,7/13/11,3,3,1,0,0,1,0,0,0,1,0,0,3
WAT030,7/13/11,3,4,1,0,0,1,0,0,1,1,0,0,4
WAT030,7/13/11,3,5,1,0,0,1,0,0,1,1,0,0,4
WAT030,7/13/11,3,6,1,0,0,1,0,0,0,0,0,0,2
WAT031,7/13/11,5,2,1,0,0,1,0,0,1,1,0,0,4
WAT031,7/13/11,5,3,1,0,0,0,0,0,0,0,0,0,1
WAT031,7/13/11,5,4,1,0,0,0,0,0,0,0,0,0,1
WAT031,7/13/11,5,5,1,0,0,1,0,0,0,1,0,0,3
WAT031,7/13/11,5,6,1,0,0,0,0,0,1,1,0,0,3
WAT032,7/13/11,7,2,0,0,0,1,0,0,1,1,1,0,4
WAT032,7/13/11,7,3,1,0,0,1,0,0,0,1,0,0,3
WAT032,7/13/11,7,4,1,0,0,1,0,0,0,1,0,0,3
WAT032,7/13/11,7,5,0,0,0,1,0,0,1,1,0,0,3
WAT032,7/13/11,7,6,0,0,0,0,0,0,0,0,0,0,0
WAT033,7/13/11,9,1,1,0,0,0,0,0,0,0,0,0,1
WAT033,7/13/11,9,2,1,0,0,0,0,0,0,0,0,0,1
WAT033,7/13/11,9,3,1,0,0,0,0,0,0,0,0,0,1
WAT033,7/13/11,9,4,0,0,0,0,0,0,0,0,0,0,0
WAT033,7/13/11,9,5,0,0,0,1,0,0,0,1,0,0,2
WAT033,7/13/11,9,6,1,0,0,0,0,0,0,1,0,0,2
WAT034,7/13/11,11,1,0,0,0,0,0,0,1,1,0,0,2
WAT034,7/13/11,11,2,0,0,0,0,0,0,0,0,0,0,0
WAT034,7/13/11,11,3,0,0,0,0,0,0,0,0,0,0,0
WAT034,7/13/11,11,4,1,0,0,1,0,0,0,1,0,0,3
WAT034,7/13/11,11,5,0,0,0,1,0,0,1,1,0,0,3
WAT035,7/13/11,13,1,0,0,0,0,0,0,1,1,0,0,2
WAT035,7/13/11,13,2,0,0,0,0,0,0,0,0,0,0,0
WAT035,7/13/11,13,3,1,1,0,1,0,0,1,1,1,0,6
WAT035,7/13/11,13,4,1,0,0,0,0,0,0,0,0,0,1
WAT035,7/13/11,13,5,0,1,0,0,0,0,0,1,0,0,2
WAT035,7/13/11,13,6,0,0,0,0,0,0,0,0,0,0,0
WAT035,7/13/11,13,1,0,0,0,0,0,0,1,1,0,0,2
WAT035,7/13/11,13,2,0,0,0,0,0,0,0,0,0,0,0
WAT035,7/13/11,13,3,1,1,0,1,0,0,1,1,1,0,6
WAT035,7/13/11,13,4,1,0,0,0,0,0,0,0,0,0,1
WAT035,7/13/11,13,5,0,1,0,0,0,0,0,1,0,0,2
WAT035,7/13/11,13,6,0,0,0,0,0,0,0,0,0,0,0
WAT036,7/13/11,15,1,0,0,0,0,0,0,1,1,0,0,2
WAT036,7/13/11,15,2,1,0,0,0,0,0,0,1,0,0,2
WAT036,7/13/11,15,3,0,0,0,0,0,0,0,0,0,0,0
WAT036,7/13/11,15,4,0,0,0,0,0,0,0,0,0,0,0
WAT036,7/13/11,15,5,1,0,0,1,0,0,1,1,0,0,4
WAT037,7/13/11,17,2,1,0,0,1,0,0,0,1,0,0,3
WAT037,7/13/11,17,3,1,0,0,1,0,0,0,1,0,0,3
WAT037,7/13/11,17,5,0,0,0,1,0,0,1,1,1,0,4
WAT037,7/13/11,17,6,1,0,0,1,0,0,0,1,0,0,3
WAT038,7/13/11,19,1,1,1,0,1,0,0,1,1,1,0,6
WAT038,7/13/11,19,2,1,0,0,1,0,0,0,1,0,0,3
WAT038,7/13/11,19,3,1,0,0,1,0,0,0,1,0,0,3
WAT038,7/13/11,19,6,1,0,0,1,0,0,0,1,0,0,3
WAT039,7/13/11,21,1,1,0,0,0,0,0,0,0,0,0,1
WAT039,7/13/11,21,2,1,0,0,1,0,0,0,1,0,0,3
WAT039,7/13/11,21,3,1,0,0,1,0,0,0,1,0,0,3
WAT039,7/13/11,21,4,1,0,0,1,0,0,0,1,0,0,3
WAT039,7/13/11,21,5,1,0,0,0,0,0,0,0,0,0,1
WAT039,7/13/11,21,6,1,0,0,0,0,0,0,0,0,0,1
WAT040,7/13/11,23,2,1,0,0,0,0,0,0,0,0,0,1
WAT040,7/13/11,23,3,1,0,0,0,0,0,0,0,0,0,1
WAT040,7/13/11,23,4,1,0,0,1,0,0,1,1,1,0,5
WAT040,7/13/11,23,5,1,0,0,0,0,0,0,0,0,0,1
WAT040,7/13/11,23,6,1,0,0,0,0,0,0,0,0,0,1
WAT041,7/13/11,25,2,1,0,0,0,0,0,0,0,0,0,1
WAT041,7/13/11,25,3,1,0,0,1,0,0,0,1,1,0,4
WAT041,7/13/11,25,4,0,0,0,0,0,0,0,0,0,0,0
WAT041,7/13/11,25,5,0,0,0,0,0,0,0,0,0,0,0
WAT041,7/13/11,25,6,1,0,0,0,0,0,0,0,0,0,1
WAT042,7/13/11,27,6,1,0,0,1,0,0,0,1,1,0,4
WAT042,7/13/11,27,2,0,0,0,0,0,0,0,0,0,0,0
