SAMPLE_NAME,SAMPLE_ID,POPULATION,INSTRUMENT_PLATFORM,ACCESSION, UNMAPPED_INITIAL ,UNMAPPED_BLASTED
HG01048,SRS008755,PUR,ILLUMINA,http://www.ncbi.nlm.nih.gov/biosample/?term=SRS008755,#N/A,
HG01095,SRS010767,PUR,ILLUMINA,http://www.ncbi.nlm.nih.gov/biosample/?term=SRS010767,#N/A,
HG01286,SRS350981,PUR,ILLUMINA,http://www.ncbi.nlm.nih.gov/biosample/?term=SRS350981,777696,
HG02700,SRS368260,PJL,ILLUMINA,http://www.ncbi.nlm.nih.gov/biosample/?term=SRS368260,2663284,
HG02775,SRS368266,PJL,ILLUMINA,http://www.ncbi.nlm.nih.gov/biosample/?term=SRS368266,2275563,
HG02819,SRS350650,GWD,ILLUMINA,http://www.ncbi.nlm.nih.gov/biosample/?term=SRS350650,2796483,
HG02820,SRS350651,GWD,ILLUMINA,http://www.ncbi.nlm.nih.gov/biosample/?term=SRS350651,2231746,
HG02851,SRS344004,GWD,ILLUMINA,http://www.ncbi.nlm.nih.gov/biosample/?term=SRS344004,2155750,
HG02852,SRS344005,GWD,ILLUMINA,http://www.ncbi.nlm.nih.gov/biosample/?term=SRS344005,3297784,
HG02854,SRS350653,GWD,ILLUMINA,http://www.ncbi.nlm.nih.gov/biosample/?term=SRS350653,1922015,
HG02855,SRS350654,GWD,ILLUMINA,http://www.ncbi.nlm.nih.gov/biosample/?term=SRS350654,2491975,
HG02884,SRS344040,GWD,ILLUMINA,http://www.ncbi.nlm.nih.gov/biosample/?term=SRS344040,2386950,
HG02885,SRS344041,GWD,ILLUMINA,http://www.ncbi.nlm.nih.gov/biosample/?term=SRS344041,2142324,
HG02890,SRS344043,GWD,ILLUMINA,http://www.ncbi.nlm.nih.gov/biosample/?term=SRS344043,2475262,
HG02891,SRS344044,GWD,ILLUMINA,http://www.ncbi.nlm.nih.gov/biosample/?term=SRS344044,2029415,
HG03024,SRS350638,GWD,ILLUMINA,http://www.ncbi.nlm.nih.gov/biosample/?term=SRS350638,1995956,
HG03025,SRS350639,GWD,ILLUMINA,http://www.ncbi.nlm.nih.gov/biosample/?term=SRS350639,2564359,
HG03066,SRS350686,MSL,ILLUMINA,http://www.ncbi.nlm.nih.gov/biosample/?term=SRS350686,3094542,
HG03069,SRS350687,MSL,ILLUMINA,http://www.ncbi.nlm.nih.gov/biosample/?term=SRS350687,3051740,
HG03240,SRS350641,GWD,ILLUMINA,http://www.ncbi.nlm.nih.gov/biosample/?term=SRS350641,3615232,
HG03241,SRS350642,GWD,ILLUMINA,http://www.ncbi.nlm.nih.gov/biosample/?term=SRS350642,2938103,
HG03246,SRS350644,GWD,ILLUMINA,http://www.ncbi.nlm.nih.gov/biosample/?term=SRS350644,2167618,
HG03247,SRS350645,GWD,ILLUMINA,http://www.ncbi.nlm.nih.gov/biosample/?term=SRS350645,4162691,
HG03279,SRS350737,ESN,ILLUMINA,http://www.ncbi.nlm.nih.gov/biosample/?term=SRS350737,2257060,
HG03294,SRS350743,ESN,ILLUMINA,http://www.ncbi.nlm.nih.gov/biosample/?term=SRS350743,1627895,
HG03342,SRS350788,ESN,ILLUMINA,http://www.ncbi.nlm.nih.gov/biosample/?term=SRS350788,2589177,
HG03437,SRS350693,MSL,ILLUMINA,http://www.ncbi.nlm.nih.gov/biosample/?term=SRS350693,3161565,
HG03458,SRS350697,MSL,ILLUMINA,http://www.ncbi.nlm.nih.gov/biosample/?term=SRS350697,2605369,
HG03491,SRS350803,PJL,ILLUMINA,http://www.ncbi.nlm.nih.gov/biosample/?term=SRS350803,1683347,
HG03538,SRS350647,GWD,ILLUMINA,http://www.ncbi.nlm.nih.gov/biosample/?term=SRS350647,2909662,
HG03539,SRS350648,GWD,ILLUMINA,http://www.ncbi.nlm.nih.gov/biosample/?term=SRS350648,2774312,
HG03571,SRS350717,MSL,ILLUMINA,http://www.ncbi.nlm.nih.gov/biosample/?term=SRS350717,1670576,
HG03583,SRS350724,MSL,ILLUMINA,http://www.ncbi.nlm.nih.gov/biosample/?term=SRS350724,3181955,
HG03615,SRS350826,BEB,ILLUMINA,http://www.ncbi.nlm.nih.gov/biosample/?term=SRS350826,20695763,
HG03643,SRS350859,STU,ILLUMINA,http://www.ncbi.nlm.nih.gov/biosample/?term=SRS350859,8912669,
HG03644,SRS350858,STU,ILLUMINA,http://www.ncbi.nlm.nih.gov/biosample/?term=SRS350858,10420975,
HG03652,SRS368283,PJL,ILLUMINA,http://www.ncbi.nlm.nih.gov/biosample/?term=SRS368283,2406705,
HG03653,SRS368284,PJL,ILLUMINA,http://www.ncbi.nlm.nih.gov/biosample/?term=SRS368284,2297844,
HG03667,SRS350811,PJL,ILLUMINA,http://www.ncbi.nlm.nih.gov/biosample/?term=SRS350811,3066208,
HG03668,SRS350812,PJL,ILLUMINA,http://www.ncbi.nlm.nih.gov/biosample/?term=SRS350812,2587904,
HG03672,SRS352860,STU,ILLUMINA,http://www.ncbi.nlm.nih.gov/biosample/?term=SRS352860,2089763,
HG03673,SRS350862,STU,ILLUMINA,http://www.ncbi.nlm.nih.gov/biosample/?term=SRS350862,8699422,
HG03679,SRS350860,STU,ILLUMINA,http://www.ncbi.nlm.nih.gov/biosample/?term=SRS350860,10982659,
HG03680,SRS352861,STU,ILLUMINA,http://www.ncbi.nlm.nih.gov/biosample/?term=SRS352861,8909200,
HG03681,SRS352862,STU,ILLUMINA,http://www.ncbi.nlm.nih.gov/biosample/?term=SRS352862,#N/A,
HG03684,SRS350865,STU,ILLUMINA,http://www.ncbi.nlm.nih.gov/biosample/?term=SRS350865,23543125,
HG03686,SRS352864,STU,ILLUMINA,http://www.ncbi.nlm.nih.gov/biosample/?term=SRS352864,2257370,
HG03687,SRS352865,STU,ILLUMINA,http://www.ncbi.nlm.nih.gov/biosample/?term=SRS352865,2750344,
HG03689,SRS352866,STU,ILLUMINA,http://www.ncbi.nlm.nih.gov/biosample/?term=SRS352866,2649764,
HG03690,SRS352867,STU,ILLUMINA,http://www.ncbi.nlm.nih.gov/biosample/?term=SRS352867,2148692,
HG03692,SRS350870,STU,ILLUMINA,http://www.ncbi.nlm.nih.gov/biosample/?term=SRS350870,9298699,
HG03693,SRS350871,STU,ILLUMINA,http://www.ncbi.nlm.nih.gov/biosample/?term=SRS350871,9652042,
HG03694,SRS352869,STU,ILLUMINA,http://www.ncbi.nlm.nih.gov/biosample/?term=SRS352869,2325633,
HG03695,SRS352870,STU,ILLUMINA,http://www.ncbi.nlm.nih.gov/biosample/?term=SRS352870,1925570,
HG03696,SRS352871,STU,ILLUMINA,http://www.ncbi.nlm.nih.gov/biosample/?term=SRS352871,1631584,
HG03697,SRS352873,STU,ILLUMINA,http://www.ncbi.nlm.nih.gov/biosample/?term=SRS352873,2591118,
HG03713,SRS350894,ITU,ILLUMINA,http://www.ncbi.nlm.nih.gov/biosample/?term=SRS350894,9710230,
HG03714,SRS350897,ITU,ILLUMINA,http://www.ncbi.nlm.nih.gov/biosample/?term=SRS350897,8648551,
HG03715,SRS350895,ITU,ILLUMINA,http://www.ncbi.nlm.nih.gov/biosample/?term=SRS350895,9340235,
